997943,Public Relations - Improve Project,https://gis.aiesec.org/v2/opportunities/997943,open,unmatched,GV,2,6,2018-10-19,2018-10-22,2018-12-03,UTP,2018-09-16,Null,Panamá,1,1,Null
997902,Digital Marketing - Improve Project,https://gis.aiesec.org/v2/opportunities/997902,open,in_progress,GV,3,6,2018-10-31,2018-11-19,2018-12-31,UTP,2018-09-16,Null,Pro Niños del Darién,1,1,Null
997897,INTERPRETES DE BRIGADAS- GLOBAL BRIGADES,https://gis.aiesec.org/v2/opportunities/997897,open,open,GV,0,7,2018-12-31,2019-03-04,2019-04-26,UTP,2018-09-16,Null,Global Brigades(Panama),1,1,Null
997891,INTERPRETES DE BRIGADAS-GLOBAL BRIGADES,https://gis.aiesec.org/v2/opportunities/997891,open,open,GV,0,6,2018-11-30,2019-01-07,2019-02-23,UTP,2018-09-15,Null,Global Brigades(Panama),1,1,Null
997192,Digital marketing - Panamá para niños - Improve Project,https://gis.aiesec.org/v2/opportunities/997192,open,in_progress,GV,0,6,2018-09-13,2018-11-16,2018-12-31,UTP,2018-09-13,Null,Panama,1,1,Null
997175,Impulse Project - Fundación Palabra y Poder ,https://gis.aiesec.org/v2/opportunities/997175,open,open,GV,0,6,2018-11-30,2018-12-03,2019-01-16,UTP,2018-09-13,Null,Panama,6,6,Null
996781,Math teacher - Sembrando en Buena Tierra -Impulse Project,https://gis.aiesec.org/v2/opportunities/996781,open,matched,GV,5,6,2018-12-30,2019-01-14,2019-03-01,UTP,2018-09-13,Null,Panama City,2,0,Null
996776,Interprete de Brigadas ,https://gis.aiesec.org/v2/opportunities/996776,open,open,GV,0,6,2018-11-29,2018-12-03,2019-01-15,UTP,2018-09-13,Null,Global Brigades,1,1,Null
996640,Website Builder for E-Commerce,https://gis.aiesec.org/v2/opportunities/996640,open,in_progress,GE,3,8,2018-10-31,2018-11-30,2019-01-31,USMA,2018-09-12,Null,Top Designers Shop,1,1,0
996342,Digital Marketing- Sembrando En Buena Tierra-Improve Project,https://gis.aiesec.org/v2/opportunities/996342,open,unmatched,GV,2,6,2018-10-15,2018-10-16,2018-11-30,UTP,2018-09-12,Null,Panama City,2,2,Null
994190,Assistant Commercial Manager Central America,https://gis.aiesec.org/v2/opportunities/994190,removed,removed,GT,137,25,2018-10-31,2018-09-21,2019-03-21,UTP,2018-09-05,Null,JCDecaux Panamá,1,1,1000
994130,Treasury Analyst,https://gis.aiesec.org/v2/opportunities/994130,open,realized,GT,107,13,2018-09-28,2018-09-13,2018-12-13,UTP,2018-09-05,Business Administration,NESTLÉ,1,0,1500
994000,Intern Range Management ,https://gis.aiesec.org/v2/opportunities/994000,open,realized,GT,130,21,2018-09-23,2018-09-29,2019-02-27,UTP,2018-09-05,Business Administration,Adidas Latin America,1,0,1200
993657,HR generalist for Central & South America,https://gis.aiesec.org/v2/opportunities/993657,open,realized,GT,49,25,2018-09-30,2018-09-11,2019-03-11,UTP,2018-09-03,Null,Deutsche Post DHL Group - Panama,1,0,1600
993291,Operation & administration trainee,https://gis.aiesec.org/v2/opportunities/993291,open,approved,GT,154,52,2018-10-08,2018-10-18,2019-10-18,UTP,2018-09-02,Business Administration,NOVARTIS,1,0,1200
992330,Especialista de promociones,https://gis.aiesec.org/v2/opportunities/992330,open,unmatched,GT,46,12,2018-09-09,2018-09-16,2018-12-13,UTP,2018-08-30,Business Administration,NESTLÉ,1,1,1200
992322,Procurement Support Specialist ,https://gis.aiesec.org/v2/opportunities/992322,open,unmatched,GT,34,17,2018-09-09,2018-09-02,2018-12-30,UTP,2018-08-30,Business Administration,NESTLÉ,1,1,1600
992109,Finance,https://gis.aiesec.org/v2/opportunities/992109,open,open,GT,200,73,2018-11-14,2018-11-14,2020-04-14,USMA,2018-08-29,Business Administration,Sanofi Aventis,1,1,1300
992057,Analista Contable Senior ,https://gis.aiesec.org/v2/opportunities/992057,open,open,GT,55,25,2018-11-29,2018-11-12,2019-05-12,USMA,2018-08-29,Business Administration,Fresenius Medical Care,1,1,1200
991706,Product Manager Junior,https://gis.aiesec.org/v2/opportunities/991706,open,realized,GT,2,72,2020-01-11,2018-08-27,2020-01-13,UTP,2018-08-28,Marketing,GLAXOSMITHKLINE,1,0,1200
